sequence_length,hidden_size,learning_rate,dropout,epochs,cv_rmse
3,32,0.01,0.0,200,26544523.166190136
5,16,0.01,0.0,200,27310703.544373672
5,32,0.01,0.0,200,29822111.66340361
5,16,0.005,0.0,200,30342128.80794631
3,16,0.005,0.1,200,31878877.984666895
3,32,0.01,0.1,200,32122735.35853185
3,32,0.005,0.1,200,32128261.22056253
5,32,0.01,0.1,200,32251252.832592923
3,32,0.005,0.0,200,34359532.90962982
3,16,0.01,0.1,200,35740435.45024812
3,16,0.005,0.0,200,37801290.637823634
5,16,0.01,0.1,200,39864809.90143097
5,32,0.005,0.0,200,42341388.05823358
5,32,0.005,0.1,200,44571245.877660334
5,16,0.005,0.1,200,46198667.40989474
3,16,0.01,0.0,200,99107778.27349453
