n_lags,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,cv_rmse
5,300,2,0.08,0.9,0.9,1,55726737.51374686
5,150,2,0.08,0.9,0.9,1,56837962.78368496
5,300,4,0.08,0.9,0.9,1,58229476.616490096
5,300,2,0.03,0.9,0.9,1,58512775.07334143
3,300,2,0.08,0.9,0.9,1,58786656.26778412
5,150,4,0.08,0.9,0.9,1,58847644.20987014
3,300,2,0.03,0.9,0.9,1,59267816.226300605
3,300,4,0.08,0.9,0.9,1,59487098.496367514
3,300,4,0.03,0.9,0.9,1,59555955.09423682
3,150,2,0.08,0.9,0.9,1,59881976.402590536
5,300,2,0.08,0.9,0.9,3,60000618.64500954
3,150,4,0.08,0.9,0.9,1,60216842.273134895
5,300,4,0.08,0.9,0.9,3,60831583.04250028
5,300,4,0.03,0.9,0.9,1,60884780.222702675
5,150,2,0.08,0.9,0.9,3,63410246.56180701
5,150,4,0.08,0.9,0.9,3,64697554.99145796
5,300,2,0.03,0.9,0.9,3,65316305.468927644
3,300,4,0.08,0.9,0.9,3,66821421.33859295
5,300,4,0.03,0.9,0.9,3,67953537.08065182
3,300,2,0.08,0.9,0.9,3,68333730.2431766
3,150,4,0.08,0.9,0.9,3,70252135.43767536
3,300,2,0.03,0.9,0.9,3,70606567.65258215
3,150,2,0.08,0.9,0.9,3,70946526.71748702
3,300,4,0.03,0.9,0.9,3,72645979.9233051
3,150,4,0.03,0.9,0.9,1,83337972.20327674
5,150,4,0.03,0.9,0.9,1,83936057.7984364
5,150,2,0.03,0.9,0.9,1,84144850.46280219
3,150,2,0.03,0.9,0.9,1,85324431.32807831
5,150,2,0.03,0.9,0.9,3,88696210.43993883
5,150,4,0.03,0.9,0.9,3,89437805.15573068
3,150,4,0.03,0.9,0.9,3,89839200.16743611
3,150,2,0.03,0.9,0.9,3,91089946.69208987
